,edge,gene1,gene2,q_value,scg
1202,38-44,38,44,0.0,False
1203,38-45,38,45,0.0,False
1204,38-46,38,46,0.0,False
1205,38-47,38,47,0.0,False
1206,38-48,38,48,0.0,False
1207,38-49,38,49,0.008000000000000007,False
1208,38-50,38,50,0.0,False
1209,39-40,39,40,1.0,True
1210,39-41,39,41,0.698,True
1211,39-42,39,42,0.0,False
1212,39-43,39,43,0.0,False
1213,39-44,39,44,1.0,True
1214,39-45,39,45,0.0020000000000000018,False
1215,39-46,39,46,0.0,False
1216,39-47,39,47,0.0,False
1217,39-48,39,48,0.0,False
1218,39-49,39,49,1.0,True
1219,39-50,39,50,0.008000000000000007,False
1220,40-41,40,41,0.20999999999999996,False
1221,40-42,40,42,0.0,False
1222,40-43,40,43,0.0,False
1223,40-44,40,44,1.0,True
1224,40-45,40,45,0.0,False
1225,40-46,40,46,0.0,False
1226,40-47,40,47,0.0,False
1227,40-48,40,48,0.0,False
1228,40-49,40,49,1.0,True
1229,40-50,40,50,0.0,False
1230,41-42,41,42,0.0,False
1231,41-43,41,43,0.0,False
1232,41-44,41,44,0.0,False
1233,41-45,41,45,0.0,False
1234,41-46,41,46,0.0,False
1235,41-47,41,47,0.0,False
1236,41-48,41,48,0.0,False
1237,41-49,41,49,1.0,True
1238,41-50,41,50,0.0,False
1239,42-43,42,43,0.0,False
1240,42-44,42,44,0.0,False
1241,42-45,42,45,0.0,False
1242,42-46,42,46,0.0,False
1243,42-47,42,47,0.0,False
1244,42-48,42,48,0.0,False
1245,42-49,42,49,0.0,False
1246,42-50,42,50,0.0,False
1247,43-44,43,44,0.0,False
1248,43-45,43,45,0.0,False
1249,43-46,43,46,0.0,False
1250,43-47,43,47,0.0,False
1251,43-48,43,48,0.0,False
1252,43-49,43,49,0.0,False
1253,43-50,43,50,0.0,False
1254,44-45,44,45,0.0,False
1255,44-46,44,46,0.0,False
1256,44-47,44,47,0.0,False
1257,44-48,44,48,0.0,False
1258,44-49,44,49,0.994,True
1259,44-50,44,50,0.0,False
1260,45-46,45,46,0.0,False
1261,45-47,45,47,0.0,False
1262,45-48,45,48,0.0,False
1263,45-49,45,49,0.0,False
1264,45-50,45,50,0.0,False
1265,46-47,46,47,0.0,False
1266,46-48,46,48,0.0,False
1267,46-49,46,49,0.0,False
1268,46-50,46,50,0.0,False
1269,47-48,47,48,0.0,False
1270,47-49,47,49,0.006000000000000005,False
1271,47-50,47,50,0.0,False
1272,48-49,48,49,0.0,False
1273,48-50,48,50,0.0,False
1274,49-50,49,50,0.16800000000000004,False
